CheckingAcctStat1,CheckingAcctStat2,CheckingAcctStat3,CheckingAcctStat4,Duration,CreditHistory1,CreditHistory2,CreditHistory3,CreditHistory4,CreditHistory5,Purpose1,Purpose2,Purpose3,Purpose4,Purpose5,Purpose6,Purpose7,Purpose8,Purpose9,Purpose10,Savings1,Savings2,Savings3,Savings4,Savings5,Employment1,Employment2,Employment3,Employment4,Employment5,InstallmentRatePecnt,PresentResidenceTime,Property1,Property2,Property3,Property4,Age,Telephone1,CreditScore
0,0,0,1,0.205882353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.267857143,1,0
0,0,0,1,0.117647059,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.333333333,0,0,1,0,0.232142857,0,0
1,0,0,0,0.029411765,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.071428571,0,1
0,0,0,1,0.294117647,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.428571429,0,0
0,0,1,0,0.117647059,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333333333,0,0,1,0,0.482142857,0,0
0,0,0,1,0.029411765,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333,0,0,1,0,0.089285714,0,0
0,0,1,0,0.117647059,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.333333333,0.666666667,0,0,1,0,0.321428571,0,0
1,0,0,0,0.102941176,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333333333,1,0,0,0,0.375,0,0
1,0,0,0,0.161764706,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.666666667,0,1,0,0,0.107142857,0,0
0,0,1,0,0.205882353,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.666666667,0.333333333,0,0,1,0,0.071428571,0,0
1,0,0,0,0.117647059,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0.071428571,1,0
0,0,0,1,0.205882353,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.666666667,1,0,0,0,0.482142857,0,0
0,0,0,1,0.117647059,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.333333333,0,1,0,0,0.285714286,0,0
0,0,0,1,0.823529412,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.333333333,1,1,0,0,0,0.035714286,1,0
0,0,1,0,0.294117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.333333333,0.333333333,1,0,0,0,0.125,0,0
0,0,0,1,0.117647059,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0.666666667,1,0,0,0,0.285714286,0,0
0,0,0,1,0.117647059,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0.285714286,0,0
0,1,0,0,0.647058824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0.339285714,1,0
0,0,1,0,0.088235294,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.333333333,0,1,0,0,0.142857143,1,0
0,0,0,1,0.294117647,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0.321428571,1,0
0,0,0,1,0.338235294,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.517857143,1,0
0,0,0,1,0.382352941,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0.125,1,0
1,0,0,0,0.647058824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.666666667,1,0,1,0,0,0.089285714,0,1
0,0,0,1,0.294117647,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.625,0,0
1,0,0,0,0.382352941,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.089285714,0,0
0,1,0,0,0.205882353,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.333333333,0,0,0,0,1,0.392857143,1,0
1,0,0,0,0.382352941,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.267857143,1,1
0,0,0,1,0.161764706,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0,0,0,1,0.178571429,0,0
0,0,0,1,0.117647059,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.589285714,0,0
0,1,0,0,0.073529412,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.333333333,0.666666667,0,0,0,1,0.178571429,0,1
1,0,0,0,0.117647059,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.333333333,0.666666667,0,1,0,0,0.196428571,0,0
0,0,0,1,0.088235294,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.333333333,1,0,0,1,0,0.803571429,1,0
0,0,0,1,0.161764706,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.333333333,0,0,1,0,0.625,1,0
0,0,0,1,0.117647059,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0.392857143,0,0
0,0,0,1,0.029411765,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.666666667,0,0,0,1,0.464285714,1,0
0,0,1,0,0.029411765,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.982142857,0,0
1,0,0,0,0.073529412,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.666666667,1,0,1,0,0,0.053571429,0,1
0,0,1,0,0.382352941,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0.5,0,0
1,0,0,0,0.117647059,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.666666667,1,0,1,0,0,0.428571429,1,1
0,1,0,0,0.117647059,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.333333333,0.333333333,1,0,0,0,0.214285714,1,0
0,0,0,1,0.117647059,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.428571429,1,0
0,0,0,1,0.117647059,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.017857143,0,0
0,0,0,1,0.117647059,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.333333333,1,0,0,1,0,0.303571429,1,0
1,0,0,0,0.073529412,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.666666667,1,1,0,0,0,0.714285714,0,0
0,0,0,1,0.117647059,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0.178571429,0,1
1,0,0,0,0.294117647,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.333333333,1,0,0,0,1,0.446428571,1,0
0,0,0,1,0.294117647,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.5,0,1
0,0,0,1,0.382352941,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.333333333,0,0,1,0,0.25,1,0
0,0,0,1,0.470588235,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0.267857143,0,0
1,0,0,0,0.161764706,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0.482142857,0,0
0,1,0,0,0.029411765,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.232142857,0,1
0,0,0,1,0.382352941,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0.607142857,1,1
0,1,0,0,0.205882353,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.666666667,1,0,0,0,1,0.339285714,1,1
1,0,0,0,0.205882353,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.142857143,0,0
0,1,0,0,0.044117647,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.666666667,0.333333333,1,0,0,0,0.267857143,0,0
0,0,0,1,0.029411765,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,1,0,0,0,1,0.410714286,1,0
0,1,0,0,0.558823529,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.333333333,0,1,0,0,0,0.392857143,0,0
0,1,0,0,0.117647059,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,1,0.294117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.107142857,0,0
0,0,1,0,0.205882353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.333333333,0,1,0,0,0,0.267857143,0,1
0,0,0,1,0.117647059,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.666666667,0,1,0,0,0.25,0,1
0,1,0,0,0.117647059,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0.017857143,0,0
0,1,0,0,0.073529412,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.666666667,1,0,0,0,0.839285714,0,0
1,0,0,0,0.470588235,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.666666667,0.333333333,0,1,0,0,0.482142857,1,0
1,0,0,0,0.073529412,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.666666667,1,1,0,0,0,0.517857143,0,0
0,0,0,1,0.294117647,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.333333333,1,0,1,0,0,0.482142857,1,0
0,1,0,0,0.073529412,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.666666667,1,0,0,0,0.089285714,0,0
1,0,0,0,0.117647059,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.678571429,0,1
0,1,0,0,0.823529412,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.666666667,1,0,0,0,1,0.732142857,1,1
0,0,0,1,0.205882353,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.666666667,0,1,0,0,0.178571429,1,0
0,1,0,0,0.823529412,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.142857143,0,0
0,1,0,0,0.117647059,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.071428571,0,0
0,1,0,0,0.647058824,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.333333333,0.666666667,0,0,1,0,0.196428571,1,1
1,0,0,0,0.294117647,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0.678571429,1,0
0,0,0,1,0.088235294,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0.666666667,0,1,0,0,0.375,1,0
1,0,0,0,0.470588235,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.333333333,0,0,1,0,0.410714286,0,1
0,1,0,0,0.058823529,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.333333333,1,0,0,0,0.446428571,0,0
0,1,0,0,0.294117647,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.666666667,0,0,0,1,0.267857143,1,0
1,0,0,0,0.294117647,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.666666667,1,0,0,0,1,0.607142857,0,1
0,0,1,0,0.117647059,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.125,0,1
0,1,0,0,0.470588235,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0.089285714,0,0
0,0,0,1,0.073529412,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333333333,1,0,0,0,0.232142857,0,0
0,0,0,1,0.161764706,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.666666667,0,0,1,0,0.214285714,0,0
0,0,0,1,0.029411765,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.333333333,0.333333333,1,0,0,0,0.196428571,0,0
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.321428571,0,0
0,0,0,1,0.205882353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.666666667,1,0,1,0,0,0.089285714,0,0
0,0,0,1,0.161764706,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.666666667,0.333333333,0,0,1,0,0.196428571,1,0
0,1,0,0,0.294117647,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.666666667,1,0,0,1,0,0.107142857,1,1
0,0,0,1,0.117647059,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.333333333,1,1,0,0,0,0.785714286,1,0
0,0,0,1,0.073529412,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0.803571429,0,0
0,0,0,1,0.029411765,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0.767857143,0,0
0,0,0,1,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0.333333333,1,0,0,0,0.392857143,0,1
0,0,0,1,0.117647059,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.333333333,1,0,0,0,0.160714286,0,0
0,0,0,1,0.073529412,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.666666667,0.333333333,0,0,1,0,0.142857143,0,0
1,0,0,0,0.073529412,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.666666667,0.333333333,0,0,0,1,0.142857143,1,1
1,0,0,0,0.294117647,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.517857143,0,1
0,0,0,1,0.294117647,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.666666667,0,0,0,1,0,0.232142857,0,0
1,0,0,0,0.294117647,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.333333333,0,1,0,0,0.285714286,0,1
0,0,0,1,0.029411765,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.160714286,1,0
0,1,0,0,0.602941176,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.666666667,1,0,0,1,0,0.142857143,0,0
0,1,0,0,0.117647059,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.333333333,1,1,0,0,0,0.071428571,0,0
0,0,1,0,0.294117647,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0,0,1,0,0.214285714,1,0
0,0,0,1,0.088235294,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.666666667,1,1,0,0,0,0.232142857,0,0
1,0,0,0,0.294117647,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.464285714,0,1
0,1,0,0,0.073529412,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333333333,1,0,0,0,0.25,0,0
0,1,0,0,0.382352941,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.333333333,0,0,1,0,0,0.053571429,0,0
0,1,0,0,0.470588235,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.410714286,1,1
0,0,1,0,0.117647059,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0,0,1,0,0.303571429,1,0
1,0,0,0,0.117647059,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.666666667,1,0,0,0,1,0.285714286,1,1
0,0,0,1,0.117647059,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.333333333,1,0,0,0,0.553571429,0,0
0,0,0,1,0.029411765,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333,0,0,1,0,0.232142857,1,0
0,0,0,1,0.161764706,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.666666667,0,1,0,0,0.303571429,1,0
0,0,0,1,0.102941176,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0.285714286,0,0
1,0,0,0,0.294117647,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.696428571,1,0
0,0,0,1,0.029411765,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.232142857,0,1
1,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.666666667,0.333333333,1,0,0,0,0.107142857,1,1
0,1,0,0,0.029411765,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.666666667,0.666666667,1,0,0,0,0.125,0,0
1,0,0,0,0.558823529,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.333333333,1,0,1,0,0,0.464285714,0,0
1,0,0,0,0.294117647,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.333333333,0,0,1,0,0,0.642857143,1,1
0,0,0,1,0.205882353,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0.821428571,0,0
0,0,1,0,0.088235294,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.321428571,0,0
0,0,0,1,0.470588235,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0,1,0,0,0.285714286,1,0
0,0,0,1,0.647058824,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.5,1,0
0,1,0,0,0.205882353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0.160714286,0,0
0,0,1,0,0.073529412,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.333333333,0,0,1,0,0.267857143,1,1
1,0,0,0,0.029411765,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0.857142857,1,0
0,1,0,0,0.647058824,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333333333,0,1,0,0,0.232142857,1,1
0,0,0,1,0.647058824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.142857143,0,0
0,0,0,1,0.294117647,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.125,1,0
0,1,0,0,0.235294118,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.732142857,1,0
1,0,0,0,0.647058824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.333333333,1,0,0,1,0,0.321428571,0,1
0,1,0,0,0.382352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0.125,0,1
0,0,0,1,0.205882353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.5,0,0
0,0,0,1,0.029411765,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.333333333,0,0,1,0,0.089285714,1,0
